YEARS;MONTH;NAME;LINK;start_date;end_date
1978;April;Jean Roualdès;https://www.raphaelleonardlevy.com/jeansellem/jean-roualdes-1978;;
1978;April;Yoshio Nakajima;https://www.raphaelleonardlevy.com/jeansellem/yoshio-nakajima;;
1978;May;Neon de Suro;https://www.raphaelleonardlevy.com/jeansellem/neon-de-suro;;
1978;May;Jens Jørgen Thorsen;https://www.raphaelleonardlevy.com/jeansellem/jens-jorgen-thorsen;;
1978;May;Krystyna Baker;https://www.raphaelleonardlevy.com/jeansellem/krystyna-baker;;
1978;June;ICC;https://www.raphaelleonardlevy.com/jeansellem/icc;;
1978;August;Henrik Pryds Beck & Tom Krøjer;https://www.raphaelleonardlevy.com/jeansellem/henrik-pryds-beck-tom-krøjer;;
1978;September;Ulf Berg & Tom Krøjer & Thomas Niggl & Johan Runeberg;https://www.raphaelleonardlevy.com/jeansellem/ulf-berg-tom-krojer-thomas-niggl-johan-runeberg;;
1978;September;INTERNATIONAL ARTISTS COOPERATION;https://www.raphaelleonardlevy.com/jeansellem/international-artists-cooperation;;
1978;October;18 Künstler aus Hamburg;https://www.raphaelleonardlevy.com/jeansellem/18-kunstler-aus-hamburg;;
1978;October;Magrit Kahl;https://www.raphaelleonardlevy.com/jeansellem/magrit-kahl;;
1978;October;Philip Anderson;https://www.raphaelleonardlevy.com/jeansellem/philip-anderson;;
1978;November;Motti Mizrachi;https://www.raphaelleonardlevy.com/jeansellem/motti-mizrachi;;
1978;November;Alison Knowles;https://www.raphaelleonardlevy.com/jeansellem/alison-knowles;;
1978;November;Anna Banana + Bill Gaglione;https://www.raphaelleonardlevy.com/jeansellem/anna-banana-bill-gaglione;;
1978;November;Anna Banana + Bill Gaglione;https://www.raphaelleonardlevy.com/jeansellem/anna-banana-bill-gaglione-malmo;;
1978;November;Fukiko Nakabayashi;https://www.raphaelleonardlevy.com/jeansellem/fukiko-nakabayashi;;
1978;November;Manfred Mohr;https://www.raphaelleonardlevy.com/jeansellem/manfred-mohr;;
1978;December;Alla Tiders Spel;https://www.raphaelleonardlevy.com/jeansellem/all-time-games-alla-tiders-spel;;
1978;December;Yumiko Kodama;https://www.raphaelleonardlevy.com/jeansellem/yumiko-kodama;;
1978;December;Gallerí Suðurgata 7;https://www.raphaelleonardlevy.com/jeansellem/galeri-sudurgata-7;;
1979;January;Niels Lomholt & Tom Elling;https://www.raphaelleonardlevy.com/jeansellem/niels-lomholt-tom-elling;;
1979;January;Horst Tress;https://www.raphaelleonardlevy.com/jeansellem/horst-tress;;
1979;January;Susanna Roxman;https://www.raphaelleonardlevy.com/jeansellem/susanna-roxman;;
1979;January;Oscar Reutersvärd;https://www.raphaelleonardlevy.com/jeansellem/oscar-reutersvard;;
1979;February;Peter R. Meyer;https://www.raphaelleonardlevy.com/jeansellem/peter-r-meyer;;
1979;February;Ulises Carrión;https://www.raphaelleonardlevy.com/jeansellem/ulises-carrion;;
1979;February;Fernando De Filippi;https://www.raphaelleonardlevy.com/jeansellem/fernando-de-filippi;;
1979;February;TRA;https://www.raphaelleonardlevy.com/jeansellem/tra;;
1979;February;Nicole Gravier;https://www.raphaelleonardlevy.com/jeansellem/nicole-gravier;;
1979;March;Myths-Myths;https://www.raphaelleonardlevy.com/jeansellem/myths-myths;;
1979;April;Zona;https://www.raphaelleonardlevy.com/jeansellem/zona;;
1979;May;Poesi Live! ;https://www.raphaelleonardlevy.com/jeansellem/poesi-live-lunds-lilla-penklubb;;
1979;May;Bill Olson & Roland Spolander;https://www.raphaelleonardlevy.com/jeansellem/bill-olson-roland-spolander;;
1979;June;Paul Woodrow;https://www.raphaelleonardlevy.com/jeansellem/paul-woodrow;;
1979;June;JH Schuetz & Uwe Poth;https://www.raphaelleonardlevy.com/jeansellem/jh-schuetz-uwe-poth;;
1979;August;Moder Jord;https://www.raphaelleonardlevy.com/jeansellem/moder-jord;;
1979;August;Art and Couscousism;https://www.raphaelleonardlevy.com/jeansellem/art-and-couscousism;;
1979;September;NON-Classified Post;https://www.raphaelleonardlevy.com/jeansellem/non-classified-post;;
1979;September;Ottomar Zimmermann;https://www.raphaelleonardlevy.com/jeansellem/ottomar-zimmermann;;
1979;September;Soft Art Press;https://www.raphaelleonardlevy.com/jeansellem/soft-art-press;;
1979;September;Herve Lesieur;https://www.raphaelleonardlevy.com/jeansellem/herve-lesieur;;
1979;October;Magnus Malmsten;https://www.raphaelleonardlevy.com/jeansellem/magnus-malmsten;;
1979;November;Jacek Tylicki;https://www.raphaelleonardlevy.com/jeansellem/jacek-tylicki;;
1979;November;John Fekner;https://www.raphaelleonardlevy.com/jeansellem/john-fekner;;
1979;November;Endre Tót;https://www.raphaelleonardlevy.com/jeansellem/endre-tot-1979;;
1979;December;Robin Crozier;https://www.raphaelleonardlevy.com/jeansellem/robin-crozier;;
1979;December;Jarosław Kozłowski;https://www.raphaelleonardlevy.com/jeansellem/jaroslaw-kozlowski;;
1980;January;Marie Sjöberg Letter of appeal;https://www.raphaelleonardlevy.com/marie-sjoberg-letter-of-appeal;;
1980;January;Swedish State Art;https://www.raphaelleonardlevy.com/jeansellem/swedish-state-art;;
1980;January;Anna Banana & Bill Gaglione;https://www.raphaelleonardlevy.com/jeansellem/anna-banana-bill-gaglione;;
1980;February;To artists and writers in Scandinavia - Petition;https://www.raphaelleonardlevy.com/jeansellem/to-artists-and-writers-in-scandinavia;;
1980;February;Paul Armand Gette;https://www.raphaelleonardlevy.com/jeansellem/paul-armand-gette;;
1980;March;Paul (pawel) Freisler;https://www.raphaelleonardlevy.com/jeansellem/paul-pawel-freisler;;
1980;March;Jørgen Nash;https://www.raphaelleonardlevy.com/jeansellem/jorgen-nash;;
1980;April;Jean-Paul Thenot;https://www.raphaelleonardlevy.com/jeansellem/jean-paul-thenot;;
1980;April;Erlingur Pall Ingvarsson;https://www.raphaelleonardlevy.com/jeansellem/erlingur-pall-ingvarsson;;
1980;May;Nathalie Talec & Fanny Volatier & Paul-Armand Gette;https://www.raphaelleonardlevy.com/jeansellem/nathalie-talec-fanny-volatier-paul;;
1980;May;Magasin Tessin;https://www.raphaelleonardlevy.com/jeansellem/magasin-tessin;;
1980;May;Andrzej Berezianski;https://www.raphaelleonardlevy.com/jeansellem/andrzej-berezianski;;
1980;June;Galerie Closed;https://www.raphaelleonardlevy.com/jeansellem/gallery-closed-june;;
1980;July;Galerie Closed;https://www.raphaelleonardlevy.com/jeansellem/gallery-closed-july;;
1980;August;Galerie Closed;https://www.raphaelleonardlevy.com/jeansellem/gallery-closed-august;;
1980;September;Unlimited Expression;https://www.raphaelleonardlevy.com/jeansellem/unlimited-expression;;
1980;November;Philosophical Workshop;https://www.raphaelleonardlevy.com/jeansellem/philosophical-workshop;;
1981;January;Poland Some Tendencies;https://www.raphaelleonardlevy.com/jeansellem/poland-some-tendencies;;
1981;February;Jean Sellem;https://www.raphaelleonardlevy.com/jeansellem/sweden-today;;
1981;February;Marie Sjöberg & Jean Sellem;https://www.raphaelleonardlevy.com/jeansellem/les-machines-en-panne;;
1981;March;Inside-Out-Art;https://www.raphaelleonardlevy.com/jeansellem/inside-out-art;;
1981;April;Jean-Paul Thenot;https://www.raphaelleonardlevy.com/jeansellem/jean-paul-thenot;;
1981;April;Bonde and Carstensen;https://www.raphaelleonardlevy.com/jeansellem/bonde-and-carstensen;;
1981;April;Stamps by some fifty artists from different countries;https://www.raphaelleonardlevy.com/jeansellem/stamps-by-some-fifty-artists-from-different-countries;;
1981;May;Cres;https://www.raphaelleonardlevy.com/jeansellem/cres;;
1981;May;Roland Vila & Pierre Guillet de Monthoux;https://www.raphaelleonardlevy.com/jeansellem/roland-vila-pierre-guillet-de-monthoux;;
1981;June;Ruth Wolf-Rehfeldt;https://www.raphaelleonardlevy.com/jeansellem/ruth-wolf-rehfeldt;;
1981;June;DS ART;https://www.raphaelleonardlevy.com/jeansellem/ds-art;;
1981;July;Hardy Strid;https://www.raphaelleonardlevy.com/jeansellem/hardy-strid;;
1981;September;10 Years 1971 - 1981;https://www.raphaelleonardlevy.com/jeansellem/10-years-1971-1981;;
1981;October;Waclaw Ropiecki;https://www.raphaelleonardlevy.com/jeansellem/waclaw-ropiecki-peter-pilgrim;;
1981;October;Oey Tjeng Sit;https://www.raphaelleonardlevy.com/jeansellem/oey-tjeng-sit;;
1981;October;Kabbala Kitsch;https://www.raphaelleonardlevy.com/jeansellem/kabbala-kitsch;;
1981;October;The Institutional Inquisition;https://www.raphaelleonardlevy.com/jeansellem/the-institutional-inquisition;;
1981;December;Synergism;https://www.raphaelleonardlevy.com/jeansellem/synergism;;
1981;December;Betty Danon;https://www.raphaelleonardlevy.com/jeansellem/betty-danon;;
1981;December;S:t Petri help center for Poland;https://www.raphaelleonardlevy.com/jeansellem/st-petri-help-center-for-poland;;
1982;January;Boston Värk;https://www.raphaelleonardlevy.com/jeansellem/boston-vark;;
1982;January;Gallery Closure;https://www.raphaelleonardlevy.com/jeansellem/gallery-closure;;
1982;January;Géza Perneczky;https://www.raphaelleonardlevy.com/jeansellem/geza-perneczky;;
1982;February;Pierre-Alain Hubert;https://www.raphaelleonardlevy.com/jeansellem/pierre-alain-hubert;;
1982;February;Christiania;https://www.raphaelleonardlevy.com/jeansellem/christiania;;
1982;March;Annette Lehmann & Ingela Bergehall;https://www.raphaelleonardlevy.com/jeansellem/annette-lehmann-ingela-bergehall;;

























